----Player Bike Data: ID 0, HRmax: 191.2----
DateTime: 27/03/2024 3:37:27 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:37:32 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:37:37 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:37:42 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:37:47 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:37:52 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:37:57 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:38:02 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:38:07 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:38:12 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:38:17 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:38:22 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:38:27 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:38:32 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:38:37 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:38:42 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:38:47 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:38:52 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:38:57 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:39:03 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:39:08 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:39:13 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:39:18 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:39:23 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:39:28 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:39:33 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:39:38 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:39:43 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:39:48 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:39:53 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:39:58 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:40:03 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:40:08 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:40:13 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:40:18 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:40:23 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:40:28 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:40:33 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:40:38 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:40:43 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:40:49 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:40:54 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:40:59 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:41:04 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:41:09 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:41:15 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:41:20 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:41:25 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:41:30 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:41:35 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:41:40 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:41:45 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:41:50 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:41:55 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:42:00 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:42:05 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:42:10 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:42:15 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:42:20 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:42:25 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:42:30 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:42:35 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:42:40 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:42:45 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:42:50 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:42:55 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:43:00 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:43:05 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:43:10 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:43:16 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:43:21 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:43:26 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:43:31 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:43:36 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:43:41 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:43:46 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:43:51 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:43:56 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:44:01 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:44:06 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:44:11 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:44:16 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:44:21 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:44:26 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:44:31 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:44:36 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:44:41 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:44:46 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:44:51 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:44:56 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:45:01 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:45:06 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:45:11 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:45:16 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:45:21 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:45:26 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:45:31 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:45:36 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:45:41 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:45:46 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:45:51 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:45:56 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:46:01 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:46:06 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:46:11 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:46:16 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:46:21 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:46:26 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:46:31 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:46:36 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:46:41 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:46:46 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:46:51 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:46:56 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:47:01 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:47:06 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:47:11 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:47:16 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:47:21 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:47:26 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:47:31 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:47:36 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:47:41 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:47:46 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:47:51 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:47:56 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:48:01 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:48:06 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:48:11 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:48:16 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:48:21 p.m., RPM: 0, HR: 0, Speed: 0
