----Player Bike Data----
DateTime: 16/02/2024 1:25:59 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 16/02/2024 1:26:04 p.m., RPM: 54, HR: 0, Speed: 0.9
DateTime: 16/02/2024 1:26:09 p.m., RPM: 61, HR: 0, Speed: 1.016667
DateTime: 16/02/2024 1:26:14 p.m., RPM: 61, HR: 0, Speed: 1.016667
DateTime: 16/02/2024 1:26:19 p.m., RPM: 65, HR: 0, Speed: 1.083333
DateTime: 16/02/2024 1:26:24 p.m., RPM: 58, HR: 0, Speed: 0.9666666
DateTime: 16/02/2024 1:26:29 p.m., RPM: 54, HR: 0, Speed: 0.9
DateTime: 16/02/2024 1:26:34 p.m., RPM: 56, HR: 0, Speed: 0.9333333
DateTime: 16/02/2024 1:26:39 p.m., RPM: 57, HR: 0, Speed: 0.95
DateTime: 16/02/2024 1:26:44 p.m., RPM: 60, HR: 0, Speed: 1
DateTime: 16/02/2024 1:26:49 p.m., RPM: 52, HR: 0, Speed: 0.8666667
DateTime: 16/02/2024 1:26:54 p.m., RPM: 4, HR: 0, Speed: 0.06666667
DateTime: 16/02/2024 1:26:59 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 16/02/2024 1:27:04 p.m., RPM: 29, HR: 0, Speed: 0.4833333
DateTime: 16/02/2024 1:27:09 p.m., RPM: 51, HR: 0, Speed: 0.85
DateTime: 16/02/2024 1:27:14 p.m., RPM: 46, HR: 0, Speed: 0.7666667
DateTime: 16/02/2024 1:27:19 p.m., RPM: 37, HR: 0, Speed: 0.6166667
DateTime: 16/02/2024 1:27:24 p.m., RPM: 46, HR: 0, Speed: 0.7666667
DateTime: 16/02/2024 1:27:29 p.m., RPM: 51, HR: 0, Speed: 0.85
DateTime: 16/02/2024 1:27:34 p.m., RPM: 55, HR: 0, Speed: 0.9166667
DateTime: 16/02/2024 1:27:39 p.m., RPM: 56, HR: 0, Speed: 0.9333333
DateTime: 16/02/2024 1:27:44 p.m., RPM: 58, HR: 0, Speed: 0.9666666
DateTime: 16/02/2024 1:27:49 p.m., RPM: 55, HR: 0, Speed: 0.9166667
DateTime: 16/02/2024 1:27:54 p.m., RPM: 53, HR: 0, Speed: 0.8833333
DateTime: 16/02/2024 1:27:59 p.m., RPM: 57, HR: 0, Speed: 0.95
DateTime: 16/02/2024 1:28:04 p.m., RPM: 60, HR: 102, Speed: 1
DateTime: 16/02/2024 1:28:09 p.m., RPM: 57, HR: 0, Speed: 0.95
DateTime: 16/02/2024 1:28:14 p.m., RPM: 57, HR: 0, Speed: 0.95
DateTime: 16/02/2024 1:28:19 p.m., RPM: 60, HR: 101, Speed: 1
DateTime: 16/02/2024 1:28:24 p.m., RPM: 63, HR: 0, Speed: 1.05
DateTime: 16/02/2024 1:28:29 p.m., RPM: 60, HR: 0, Speed: 1
DateTime: 16/02/2024 1:28:34 p.m., RPM: 61, HR: 0, Speed: 1.016667
DateTime: 16/02/2024 1:28:39 p.m., RPM: 58, HR: 0, Speed: 0.9666666
DateTime: 16/02/2024 1:28:44 p.m., RPM: 59, HR: 0, Speed: 0.9833333
DateTime: 16/02/2024 1:28:49 p.m., RPM: 52, HR: 0, Speed: 0.8666667
DateTime: 16/02/2024 1:28:54 p.m., RPM: 55, HR: 0, Speed: 0.9166667
DateTime: 16/02/2024 1:28:59 p.m., RPM: 55, HR: 0, Speed: 0.9166667
DateTime: 16/02/2024 1:29:04 p.m., RPM: 51, HR: 0, Speed: 0.85
DateTime: 16/02/2024 1:29:09 p.m., RPM: 55, HR: 0, Speed: 0.9166667
DateTime: 16/02/2024 1:29:14 p.m., RPM: 50, HR: 0, Speed: 0.8333333
DateTime: 16/02/2024 1:29:19 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 16/02/2024 1:29:24 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 16/02/2024 1:29:29 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 16/02/2024 1:29:34 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 16/02/2024 1:29:39 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 16/02/2024 1:29:44 p.m., RPM: 55, HR: 0, Speed: 0.9166667
DateTime: 16/02/2024 1:29:49 p.m., RPM: 60, HR: 0, Speed: 1
DateTime: 16/02/2024 1:29:54 p.m., RPM: 54, HR: 0, Speed: 0.9
DateTime: 16/02/2024 1:29:59 p.m., RPM: 58, HR: 0, Speed: 0.9666666
DateTime: 16/02/2024 1:30:04 p.m., RPM: 59, HR: 0, Speed: 0.9833333
DateTime: 16/02/2024 1:30:09 p.m., RPM: 59, HR: 0, Speed: 0.9833333
DateTime: 16/02/2024 1:30:14 p.m., RPM: 47, HR: 0, Speed: 0.7833334
DateTime: 16/02/2024 1:30:19 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 16/02/2024 1:30:24 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 16/02/2024 1:30:29 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 16/02/2024 1:30:34 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 16/02/2024 1:30:39 p.m., RPM: 59, HR: 0, Speed: 0.9833333
DateTime: 16/02/2024 1:30:44 p.m., RPM: 10, HR: 0, Speed: 0.1666667
DateTime: 16/02/2024 1:30:49 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 16/02/2024 1:30:54 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 16/02/2024 1:30:59 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 16/02/2024 1:31:04 p.m., RPM: 55, HR: 0, Speed: 0.9166667
DateTime: 16/02/2024 1:31:09 p.m., RPM: 17, HR: 0, Speed: 0.2833333
DateTime: 16/02/2024 1:31:14 p.m., RPM: 39, HR: 86, Speed: 0.65
DateTime: 16/02/2024 1:31:19 p.m., RPM: 5, HR: 0, Speed: 0.08333334
DateTime: 16/02/2024 1:31:24 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 16/02/2024 1:31:29 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 16/02/2024 1:31:34 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 16/02/2024 1:31:40 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 16/02/2024 1:31:45 p.m., RPM: 0, HR: 0, Speed: 0
